City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangoa,-12.1167,-73.0,293.69,99,65,0.83,PE,1707197490
1,tiksi,71.6872,128.8694,247.11,89,99,1.48,RU,1707197491
2,kirakira,-10.4544,161.9205,301.99,79,49,5.21,SB,1707197492
3,hasaki,35.7333,140.8333,279.42,79,100,8.3,JP,1707197492
4,juneau,58.3019,-134.4197,274.15,97,100,3.09,US,1707197291
5,olonkinbyen,70.9221,-8.7187,271.35,72,60,4.26,SJ,1707197493
6,port-aux-francais,-49.35,70.2167,278.92,71,100,12.3,TF,1707197494
7,kosh-agach,50.0,88.6667,253.88,87,50,0.45,RU,1707197495
8,waitangi,-43.9535,-176.5597,293.05,85,98,0.89,NZ,1707197496
9,rabo de peixe,37.8,-25.5833,290.92,99,40,6.17,PT,1707197497
10,buala,-8.145,159.5921,302.83,73,94,4.43,SB,1707197497
11,albany,42.6001,-73.9662,269.63,63,2,2.92,US,1707197259
12,kerikeri,-35.2268,173.9474,296.99,68,11,0.45,NZ,1707197498
13,fortuna,40.5982,-124.1573,282.4,98,100,0.89,US,1707197499
14,longyearbyen,78.2186,15.6401,267.06,63,40,8.75,SJ,1707197499
15,atafu village,-8.5421,-172.5159,300.96,83,100,16.41,TK,1707197500
16,bethel,41.3712,-73.414,272.56,56,0,1.34,US,1707197501
17,coquimbo,-29.9533,-71.3436,291.0,94,0,2.57,CL,1707197501
18,qarqaraly,49.4058,75.4742,266.57,80,99,3.17,KZ,1707197502
19,tangalle,6.024,80.7911,304.24,60,82,5.72,LK,1707197503
20,luumaki,60.9262,27.5814,263.18,98,84,2.49,FI,1707197503
21,taltal,-25.4,-70.4833,294.22,83,12,0.21,CL,1707197504
22,bredasdorp,-34.5322,20.0403,296.02,71,72,1.75,ZA,1707197505
23,puerto natales,-51.7236,-72.4875,281.49,78,97,1.57,CL,1707197331
24,grytviken,-54.2811,-36.5092,280.01,92,42,7.05,GS,1707197506
25,georgetown,5.4112,100.3354,304.11,74,20,4.63,MY,1707197412
26,sanya,18.2431,109.505,302.24,61,75,6.0,CN,1707197507
27,lerwick,60.1545,-1.1494,278.15,72,100,7.7,GB,1707197508
28,yellowknife,62.456,-114.3525,246.09,82,40,1.54,CA,1707197508
29,korla,41.7597,86.1469,271.07,61,24,1.0,CN,1707197509
30,constitucion,-35.3333,-72.4167,289.01,68,24,3.48,CL,1707197426
31,papatowai,-46.5619,169.4708,287.67,99,100,1.14,NZ,1707197510
32,west island,-12.1568,96.8225,303.14,74,75,4.12,CC,1707197510
33,blackmans bay,-43.0167,147.3167,293.56,40,89,2.45,AU,1707197511
34,yanchep,-31.55,115.6833,305.9,27,70,4.02,AU,1707197511
35,santa elena de uairen,4.6167,-61.1333,293.56,79,61,0.83,VE,1707197512
36,tazovsky,67.4667,78.7,251.41,98,99,6.1,RU,1707197512
37,selfoss,63.9331,-20.9971,260.37,86,9,3.66,IS,1707197513
38,whitehorse,60.7161,-135.0538,254.71,80,100,1.03,CA,1707197513
39,remire-montjoly,4.9167,-52.2667,300.17,94,75,1.54,GF,1707197514
40,palmer,42.1584,-72.3287,271.38,52,0,5.14,US,1707197514
41,thompson,55.7435,-97.8558,265.24,86,100,5.66,CA,1707197515
42,polyarnyy,69.1989,33.4478,256.67,99,100,4.42,RU,1707197515
43,traverse city,44.7631,-85.6206,271.95,96,100,0.0,US,1707197417
44,al jawf,29.5,38.75,282.11,56,0,1.66,SA,1707197516
45,urzhar,47.093,81.6294,269.47,73,10,0.8,KZ,1707197516
46,bowen,-20.0167,148.2333,302.46,67,83,4.72,AU,1707197517
47,las khorey,11.1595,48.1967,299.92,66,11,1.93,SO,1707197517
48,male,4.1748,73.5089,304.12,74,20,7.2,MV,1707197518
49,tura,25.5198,90.2201,296.27,40,43,2.51,IN,1707197518
50,bilibino,68.0546,166.4372,237.81,100,100,0.42,RU,1707197519
51,stanley,54.868,-1.6985,283.31,89,75,5.14,GB,1707197361
52,holualoa,19.6228,-155.9522,295.06,88,75,2.06,US,1707197519
53,neiafu,-18.65,-173.9833,301.53,74,40,4.12,TO,1707197520
